Study ID,Title,Author,Checked & passed inclusion criteria?,Extracted?,Extraction by:,Checked?,Check by:,Original Language of article,Country of the Study,Year of publication,Year(s) of data collection,Income level of study setting,Region of study setting,Study Design,Number of infants with MMC-associated HC,Mean,Median,Standard deviation,Range,Female,Male,Comments
ID 71,ETV in infancy and childhood below 2 years of age for treatment of hydrocephalus,"El Damaty, Ahmed and Baechli, Heidi and Unterberg, Andreas and Marx, Sascha and Baldauf, Joerg and Fleck, Steffen and Schroeder, Henry W. S. and Cohrs, Gesa and Synowitz, Michael and Vollmer, Marcus and Eltanahy, Ahmed and El Refaee, Ehab and Zohdi, Ahmed",Did not pass (comment reason for exclusion),TRUE,Moniba,TRUE,Daoud,English,,2020,,,,,,,,,,,,"the only valuable information available is that ETV succeeded in 1/6 patients but we don't know if it was 1st line treatment or not (15 patients of the selected population received VPS before ETV, we don't know their etiologies)"
ID 72,Evaluation of functional outcomes in congenital hydrocephalus,"Venkataramana, N. K. and Mukundan, C. R.",Passed,TRUE,Moniba,FALSE,Daoud,English,India,2011,,Lower middle income,South Asia,Other (Add as comment),15,144,,105.6,,9,6,
ID 73,Experience in shunt management on revision free survival in infants with myelomeningocele,"Al-Hakim, Sara and Schaumann, Andreas and Schneider, Joanna and Schulz, Matthias and Thomale, Ulrich-Wilhelm",Passed,TRUE,Moniba,FALSE,Daoud,English,Germany,2018,2007-2015,High income,Europe & Central Asia,Retrospective study (unspecified),44,,,,,21,23,
ID 74,Experience with simultaneous ventriculo-peritoneal shunt placement and myelomeningocele repair,"Chadduck, W. M. and Reding, D. L.",Did not pass (comment reason for exclusion),TRUE,Daoud,FALSE,Berjo,English,United States,1988,,High income,North America,Prospective study (unspecified),38,,,,,,,"Tempted to exclude, seems very poor study, only descriptive and number of participants dont add up, no data on follow up length no data on peirod of data collection etc. Also no age given at any point, hard to be sure children are <2y of age "
ID 75,Extracranial CSF shunting for infantile non tumoral hydrocephalus--a retrospective analysis of 360 cases,"Giuffre, R. and Palma, L. and Fontana, M.",Did not pass (comment reason for exclusion),TRUE,Daoud,TRUE,Berjo,English,,1979,,,,,,,,,,,,Wrong population (No diaggregate data on MMCaH)
ID 76,Factors affecting infection development after meningomyelocele repair in newborns and the efficacy of antibiotic prophylaxis,"Demir, Nihat and Peker, Erdal and Gulsen, Ismail and Agengin, Kemal and Tuncer, Oguz",Passed,TRUE,Daoud,TRUE,Moniba,English,Turkey,2015,2012-2014,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),77,,,,,,31,all neonates
ID 77,Hydrocephalus in infants less than six months of age: effectiveness of endoscopic third ventriculostomy,"Faggin, R. and Bernardo, A. and Stieg, P. and Perilongo, G. and d'Avella, D.",Passed,TRUE,Daoud,TRUE,Moniba,English,Italy,2009,2000-2002,High income,Europe & Central Asia,Prospective study (unspecified),5,,,,0-180,,,
ID 78,Hydrocephalus in myelomeningocele,"Moron, Antonio Fern and es and Cavalheiro, Sergio and da Costa, Marcos Devanir Silva and Dastoli, Patricia Aless and ra and Mendonca, Jardel Nicacio and Cavalheiro, Daniela and Barbosa, Mauricio Mendes",Did not pass (comment reason for exclusion),TRUE,Brian,FALSE,Berjo,English,Brazil,2021,1991-2021,Upper middle income,Latin America & Caribbean,Retrospective study (unspecified),617,,,,,,,data on patients with MMCaHC are not clear 
ID 79,Hydrocephalus in newborns and infants at the nouakchott national hospital,"Salem-Memou, Sidi and Chavey, Sidiya and Mamoune, Abdallahi and Moctar, Ahmedou and Salihy, Sidimohamed and Boukhrissi, Najat and Elmoustapha, Hamdy",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Berjo,French,Mauritania,2020,2014-2018,Lower middle income,Sub-Saharan Africa,Retrospective study (unspecified),,,,,,,,Wrong population (No diaggregate data on MMCaH)
ID 80,Infant hydrocephalus in sub-Saharan Africa: The reality on the Tanzanian side of the lake,"Colombe, Soledad and O'Donnell, Philip and Rubagumya, Derick K. and Dominic, Imani and Brighton, Amos and Santos, Maria M. and Zubkov, Micaella R. and Hartl, Roger",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Berjo,English,Tanzania,2017,2016-2016,Lower middle income,Sub-Saharan Africa,Prospective study (unspecified),20,,,,,,,Wrong population (No diaggregate data on MMCaH)
ID 81,Intrathecal CSF dynamic measurements in hydrocephalus associated with MMC - Experience of the Republican center of neurosurgery of Uzbekistan,"Akhmediev, M. M. and Akhmediev, T. M. and Kariev, G. M.",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Berjo,English,Uzbekistan,2020,2013-2018,Lower middle income,Europe & Central Asia,Retrospective study (unspecified),81,,,,13.42-547.5,36,45,No data on outcome of interest 
ID 82,Long-term mortality rates in pediatric hydrocephalus-a retrospective single-center study,"Gmeiner, M. and Wagner, H. and Zacherl, C. and Polanski, P. and Auer, C. and van Ouwerkerk, W. J. and Holl, K.",Passed,TRUE,Sett,FALSE,Conor,English,Austria,2017,1982-1992,High income,Europe & Central Asia,Retrospective study (unspecified),35,,,,,,,No stats on age and sex
ID 83,Long-term outcome and complications of children born with meningomyelocele,"Steinbok, P. and Irvine, B. and Cochrane, D. D. and Irwin, B. J.",Passed,TRUE,Sett,FALSE,Conor,English,Canada,1992,,High income,North America,Retrospective study (unspecified),93,,,,,,,No stats on age and sex
ID 84,Long-term outcome of hydrocephalus management in myelomeningoceles,"Tuli, Sagun and Drake, James and Lamberti-Pasculli, Maria",Passed,TRUE,Sett,FALSE,Conor,English,United States,2003,1987-1996,High income,North America,Prospective study (unspecified),189,,,,,,,
ID 85,Management and outcome of infantile hydrocephalus in a tertiary health institution in Nigeria,"Yusuf, Ayodeji Salman and Adeleke, Nurudeen Abiola and Akanbi, Rukeme Oluaseun and Ajiboye, Sikiru Olalekan and Ibrahim, Hakeem Gbadebo and Omokanye, Habeeb Kayodele",Did not pass (comment reason for exclusion),TRUE,Sett,TRUE,Berjo,,,2017,,,,,,,,,,,,wrong population
ID 86,Management of myelomeningocele,"A. Sattar M, Hashim and Shahid, Ahmed and Rashid, Jooma",Passed,TRUE,Berjo,FALSE,Sett,English,Pakistan,2008,2001-2006,Lower middle income,South Asia,Cross sectional study,365,,,,,,,sociodemographics available are for all patients with MMC
ID 87,"Management of neural tube defects in a Sub-Saharan African country: The situation in Yaounde, Cameroon","Djientcheu, Vincent de Paul and Njamnshi, Alfred Kongnyu and Wonkam, Ambroise and Njiki, Julie and Guemse, Mohamadou and Kago, Innocent and Tietche, Felix and Obama, Marie Therese and Mbu, Robinson and Takongmo, Samuel and Tetanye, Ekoe",Did not pass (comment reason for exclusion),TRUE,Berjo,FALSE,Sett,,,2008,,,,,,,,,,,,"No disaggregate data for MMCaH (The only info available is that of 16 cases of MMCaH, the management and outcome reported is that of spina bifida (the paper mentions MMC not to be the only type reported) assoc hydrocephalus  "
ID 88,Myelomeningocele: A Brazilian University Hospital experience,"Ulsenheimer, Maria M. M. and Antoniuk, Sergio A. and Dos Santos, Lucia H. C. and Ceccatto, Marcos P. and Da Silveira, Antonio Ernesto and Bruck, Isac and Ruiz, Ana Paula and Egger, Paulo",Passed,TRUE,Berjo,FALSE,Sett,English,Brazil,2004,1990-2000,Upper middle income,Latin America & Caribbean,Retrospective study (unspecified),30,,,,,,,sociodemographics available are for all patients with MMC
ID 89,Neural tube defects in Uganda: follow-up outcomes from a national referral hospital,"Xu, Linda W. and Vaca, Silvia D. and He, Joy Q. and Grant, Gerald and Nalwanga, Juliet and Kiryabwire, Joel and Ssenyonjo, Hussein and Mukasa, John and Muhumuza, Michael and Muhumuza, Christine",Passed,TRUE,Berjo,FALSE,Sett,English,Uganda,2018,2014-2015,Low income,Sub-Saharan Africa,Prospective study (unspecified),87,,,,,,,sociodemographics available are for all patients with NTDs
ID 90,Neurocognitive outcome and ventricular volume in children with myelomeningocele treated for hydrocephalus in Uganda,"Warf, Benjamin and Ondoma, Solomon and Kulkarni, Abhaya and Donnelly, Ruth and Ampeire, Miriam and Akona, Joan and Kabachelor, Collin R. and Mulondo, Ronald and Nsubuga, Brian Kaaya",Did not pass (comment reason for exclusion),TRUE,Safia,TRUE,Conor,English,Uganda,2009,,Low income,Sub-Saharan Africa,,93,,,,,,,"wrong outcome, population age range 52 months- 5 years , no diaggregate data for age <2 years"
ID 91,Neuroendoscopia: Utilidad en el manejo de la hidrocefalia en niños de países en vías de desarrollo,"Jiménez-León, Juan C. and Jiménez, Cristina S. and Betancourt, Yaline M.",Did not pass (comment reason for exclusion),TRUE,Alvaro,TRUE,Berjo,,,2007,,,,,,,,,,,,wrong population (population age >2yrs old (range: 2-48 months))
ID 92,Neurosurgical management of hydrocephalus by a general surgeon in an extremely low resource setting: initial experience in North Kivu province of Eastern Democratic Republic of Congo,"Cairo, Sarah B. and Agyei, Justice and Nyav and u, Kavira and Kalisya, Luc Malemo and Rothstein, David H.",Passed,TRUE,Safia,TRUE,Conor,English,"Congo, Dem. Rep.",2018,2003-2016,Low income,Sub-Saharan Africa,Retrospective study (unspecified),10,413.6671,,690.4591,,5,5,
ID 93,Ophthalmic complications of meningomyelocele and hydrocephalus in children,"Harcourt, R. B.",Passed,TRUE,Safia,TRUE,Conor,English,United Kingdom,1968,,High income,Europe & Central Asia,Case series,4,,,,,1,3,
ID 94,Outcome of myelomeningocoele repair in sub-Saharan Africa: The Nigerian experience,"Idowu, O. E. and Apemiye, R. A.",Passed,TRUE,Moniba,TRUE,Safia,English,Nigeria,2008,2006-2007,Lower middle income,Sub-Saharan Africa,Prospective study (unspecified),18,,,,2-730,,,
ID 95,Outcome of patients with meningomyelocelel: The Ege University experience,"Mirzai, Hasan and Mutluer, Saffet and Kayahan, Aysen and Ersahin, Yusuf",Did not pass (comment reason for exclusion),TRUE,Safia,TRUE,Berjo,,,1998,,,,,,,,,,,,Wrong population
ID 96,Perinatal management of meningomyelocele,"Chervenak, F. A. and Duncan, C. and Ment, L. R. and Tortora, M. and McClure, M. and Hobbins, J. C.",Did not pass (comment reason for exclusion),TRUE,Conor,TRUE,Berjo,,,1984,,,,,,,,,,,,Full-text not available
ID 97,Postnatal repair of open neural tube defects: A single center with 90-month interdisciplinary follow-up,"Hagemann, Christian and Krajewski, Kara and Henne, Thomas and Stucker, Ralf and Kunkel, Philip",Passed,TRUE,Conor,FALSE,Daoud,English,Germany,2021,2007-2018,High income,Europe & Central Asia,Retrospective study (unspecified),18,,,,,,,No specific male:female or hydrocephalus specific age data available
ID 98,Predictors of the need for cerebrospinal fluid diversion in patients with myelomeningocele,"Phillips, Blake C. and Gelsomino, Michael and Pownall, Ambre' L. and Ocal, Eylem and Spencer, Horace J. and O'Brien, Mark S. and Albert, Gregory W.",Passed,TRUE,Conor,FALSE,Daoud,English,United States,2014,2005-2011,High income,North America,Retrospective study (unspecified),54,,,,,25,29,
ID 99,Prenatal Repair of Myelomeningocele and School-age Functional Outcomes,"Houtrow, Amy J. and Thom, Elizabeth A. and Fletcher, Jack M. and Burrows, Pamela K. and Adzick, N. Scott and Thomas, Nina H. and Brock, John W., 3rd and Cooper, Timothy and Lee, Hanmin and Bilaniuk, Larissa and Glenn, Orit A. and Pruthi, Sumit and MacPherson, Cora and Farmer, Diana L. and Johnson, Mark P. and Howell, Lori J. and Gupta, Nalin and Walker, William O.",Did not pass (comment reason for exclusion),TRUE,Conor,TRUE,Berjo,English,United States,2020,2011-2017,High income,North America,Retrospective study (unspecified),161,,,,,,,Wrong population
ID 100,Primary and secondary management of the Chiari II malformation in children with myelomeningocele,"Messing-Junger, Martina and Rohrig, Andreas",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Berjo,English,Germany,2013,2009-2012,High income,Europe & Central Asia,Retrospective study (unspecified),,,,,,,,"Wrong population (No  disaggregate data for MMC-aHC)
"
ID 101,Primary ventriculo-peritoneal shunts in treatment of hydrocephalus associated with myelomeningocele,"Stark, G. D. and Drummond, M. B. and Poneprasert, S. and Robarts, F. H.",Passed,TRUE,Brian,FALSE,Sett,English,United Kingdom,1974,1965-1969,High income,Europe & Central Asia,Other (Add as comment),50,,,,,28,22,All patient had their first shunt < 2 years except for 1 pationt had first shunt at age 9 years old but there is no separate data that distinguish from the rest of the population 
ID 102,Prognosis for seizure control and remission in children with myelomeningocele,"Noetzel, M. J. and Blake, J. N.",Passed,TRUE,Brian,FALSE,Sett,English,United States,1991,1962-1989,High income,North America,Other (Add as comment),109,,,,,59,50,Study Design: Mixed: Retrospective and Prospective 
ID 103,Prognosis regarding shunt revision and mortality among hydrocephalus patients below the age of 2 years and the association to patient-related risk factors,"Gortz, Sanne and Wohlfahrt, Jan and Hauerberg, John and Munch, Tina Norgaard and Melbye, Mads",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Berjo,English,Denmark,2020,1996-2015,High income,Europe & Central Asia,Other (Add as comment),42,,,,,,,Wrong population
ID 104,Progressive hydrocephalus despite early complete reversal of hindbrain herniation after prenatal open myelomeningocele repair,"Lu, Victor M. and Snyder, Kendall A. and Daniels, David J. and Ahn, Edward S. and Ibirogba, Eniola R. and Ruano, Rodrigo",Passed,TRUE,Daoud,TRUE,Brian,English,United States,2019,2012-2017,High income,North America,Retrospective study (unspecified),6,173.6,175,,168-182,6,,
ID 105,Rate of shunt revision as a function of age in patients with shunted hydrocephalus due to myelomeningocele,"Dupepe, Esther B. and Hopson, Betsy and Johnston, James M. and Rozzelle, Curtis J. and Jerry Oakes, W. and Blount, Jeffrey P. and Rocque, Br and on G.",Did not pass (comment reason for exclusion),TRUE,Daoud,TRUE,Brian,,,2016,,,,,,,,,,,,
ID 106,Reconstructions With Different and New Techniques of Large and Extensive Myelomeningocele Defects,"Emsen, Ilteris M.",Did not pass (comment reason for exclusion),TRUE,Daoud,TRUE,Brian,English,Turkey,2019,2012-2018,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),19,,,,,,,No disaggregate data for age and gender
ID 107,Relationship between hydrocephalus etiology and ventriculoperitoneal shunt infection in children and review of literature,"Arslan, Mehmet and Aycan, Abdurrahman and Gulsen, Ismail and Akyol, Mehmet Edip and Kuyumcu, Fetullah",Passed,TRUE,Daoud,TRUE,Brian,English,Turkey,2018,2002-2017,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),794,,,,2-365,,,
ID 108,Relationship of CSF shunting and IQ in children with myelomeningocele: A retrospective analysis,"Mapstone, T. B. and Rekate, H. L. and Nulsen, F. E. and Dixon Jr, M. S. and Glaser, N. and Jaffe, M.",Did not pass (comment reason for exclusion),FALSE,Moniba,TRUE,Berjo,,,1984,,,,,,,,,,,,
ID 109,Reopening of an obstructed third ventriculostomy: Long-term success and factors affecting outcome in 215 infants,"Marano, Paul J. and Stone, Scellig S. D. and Mugamba, John and Ssenyonga, Peter and Warf, Ezra B. and Warf, Benjamin C.",Did not pass (comment reason for exclusion),FALSE,Moniba,TRUE,Berjo,English,,2015,,,,,,,,,,,,"Wrong population (No  disaggregate data for MMC-aHC )
"
ID 110,Repeat endoscopic third ventriculostomy success rate according to ventriculostoma closure patterns in children,"Etus, Volkan and Genc, Hamza and Kahilogullari, Gokmen and Ozgural, Onur and Unlu, Agahan and Gokbel, Aykut and Guler, Tugba Morali",Did not pass (comment reason for exclusion),FALSE,Moniba,TRUE,Berjo,English,,2021,,,,,,,,,,,,"Wrong population (No  disaggregate data for MMC-aHC )
"
ID 111,Results of selective treatment of spina bifida cystica,"Lorber, J. and Salfield, S. A.",Passed,TRUE,Moniba,FALSE,Daoud,English,United Kingdom,1981,1971-1976,High income,Europe & Central Asia,Prospective study (unspecified),113,,,,,,,
ID 112,Results of Simultaneous Early Repair and Ventriculoperitoneal Shunt in Infants with Myelomeningocele and Hydrocephalus,"Il-Woo, L. E. E. and Gil-Song, L. E. E. and Joon-Ki, Kang and Chang-Rak, Choi",Passed,TRUE,Daoud,FALSE,Moniba,Korean,"Korea, Rep.",1992,1975-1990,High income,East Asia & Pacific,Retrospective study (unspecified),7,27.1,7,,2-64,5,2,
ID 113,"Results of treatment of myelomeningocele. An analysis of 524 unselected cases, with special reference to possible selection for treatment","Lorber, J.",Did not pass (comment reason for exclusion),FALSE,Daoud,TRUE,Berjo,,,1971,,,,,,,,,,,,"Wrong population (No  disaggregate data for MMC-aHC )
"
ID 114,Results of treatment with ventriculoatrial and ventriculoperitoneal shunt in infantile nontumoral hydrocephalus,"Mazza, C. and Pasqualin, A. and Da Pian, R.",Did not pass (comment reason for exclusion),FALSE,Daoud,TRUE,Berjo,,,1980,,,,,,,,,,,,"Wrong population (No  disaggregate data for MMC-aHC )
"
ID 115,Retrospective analysis of early- and late-operated meningomyelocele patients,"Taskapilioglu, M. Ozgur and Turedi, Bilge and Altunyuva, Oguz and Utangac, Mehmet Mazhar and Balkan, M. Emin and Kilic, Nizamettin",Did not pass (comment reason for exclusion),FALSE,Daoud,TRUE,Berjo,English,Germany,2021,2008-2014,High income,Europe & Central Asia,Retrospective study (unspecified),,,,,,,,Wrong population
ID 116,Reversal of hindbrain herniation after maternal-fetal surgery for myelomeningocele subsequently impacts on brain stem function,"Danzer, E. and Finkel, R. S. and Rintoul, N. E. and Bebbington, M. W. and Schwartz, E. S. and Zarnow, D. M. and Adzick, N. S. and Johnson, M. P.",Did not pass (comment reason for exclusion),FALSE,Jeremy,TRUE,Berjo,English,United States,2008,1998-2003,High income,North America,Retrospective study (unspecified),,,,,,,,Wrong population
ID 117,Reviewing the prognostic factors in myelomeningocele,"Protzenko, Tatiana and Bellas, Antonio and de Lima Silveira, Anne Margareth and Salomao, Jose Francisco M. and Pousa, Marcelo Sampaio and Protzenko, Michelle and Fontes, Juliana Marin and Sa, Cynthia Amaral and Pereira, Jose Paulo and Salomao, Renato Manganelli and Dos Santos Gomes, Saint Clair",Passed,TRUE,Jeremy,FALSE,Brian,English,Brazil,2019,1995-2005,Upper middle income,Latin America & Caribbean,Retrospective study (unspecified),193,265.9,,11.2,,127,104,
ID 118,Risk factors for unplanned readmission within 30 days after pediatric neurosurgery: A nationwide analysis of 9799 procedures from the American College of Surgeons National Surgical Quality Improvement Program,"Sherrod, Br and on A. and Johnston, James M. and Rocque, Br and on G.",Did not pass (comment reason for exclusion),FALSE,Jeremy,TRUE,Berjo,English,United States,2016,,High income,North America,,,,,,,,,no stats on MMC-associated HC and stats on hydrocephalus
ID 119,"Risk factors, presentation and outcome of meningomyelocele repair","Rehman, Lal and Shiekh, Munwar and Afzal, Ali and Rizvi, Raza",Passed,TRUE,Jeremy,FALSE,Moniba,English,Pakistan,2020,2015-2018,Lower middle income,South Asia,Retrospective study (unspecified),98,,,,,,,no stats on hydrocephalus patient 
ID 120,Role of Endoscopic Third Ventriculostomy in the Management of Myelomeningocele-Related Hydrocephalus: A Retrospective Study in a Single French Institution,"Beuriat, Pierre-Aurelien and Szathmari, Alex and ru and Grassiot, Bl and ine and Plaisant, Franck and Rousselle, Christophe and Mottolese, Carmine",Passed,TRUE,Sett,FALSE,Conor,English,France,2016,1994-2012,High income,Europe & Central Asia,Retrospective study (unspecified),97,,,,,,,No stats on age and sex
ID 121,Screening for ventricular shunt function in children with hydrocephalus secondary to meningomyelocele,"Liptak, G. S. and Bol and er, H. M. and Langworthy, K.",Passed,TRUE,Sett,FALSE,Jeremy,English,United States,2001,,High income,North America,Retrospective study (unspecified),112,,,,,58,54,
ID 122,Selective surgical management of neural tube malformations,"Evans, R. C. and Tew, B. and Thomas, M. D. and Ford, J.",Did not pass (comment reason for exclusion),TRUE,Sett,TRUE,Berjo,,,1985,,,,,,,,,,,,Wrong population (Can't ascertain which patients had MMC + HC)
ID 123,Short-term prognostic factors in myelomeningocele patients,"Rodrigues, A. B. and Krebs, V. L. and Matushita, H. and de Carvalho, W. B.",Passed,TRUE,Sett,FALSE,Jeremy,English,Brazil,2016,,Upper middle income,Latin America & Caribbean,Retrospective study (unspecified),32,,,,,,,No stats on age and sex
ID 124,"Short-term results of patients with neural tube defects followed-up in the Konya region, Turkey","Yorulmaz, Alaaddin and Konak, Murat",Did not pass (comment reason for exclusion),FALSE,Berjo,FALSE,Sett,,,2019,,,,,,,,,,,,Wrong population
ID 125,Shunt complications in children with myelomeningocele: Effect of timing of shunt placement - Clinical article,"Ardebili, Hasan Eftekhar and El Khashab, Mostafa and Radmanesh, Farid and Nejat, Farideh and Ghodsi, Syed Mohammad",Did not pass (comment reason for exclusion),FALSE,Berjo,FALSE,Sett,,,2009,,,,,,,,,,,,Wrong population
ID 126,Shunt complications in the first postoperative year in children with meningomyelocele,"Caldarelli, M. and Di Rocco, C. and La Marca, F.",Passed,TRUE,Berjo,FALSE,Sett,English,Italy,1996,1980-1994,High income,Europe & Central Asia,Retrospective study (unspecified),170,,,,,,,
ID 127,"Shunt failure clusters: An analysis of multiple, frequent shunt failures","Rocque, Br and on G. and Waldrop, Raymond P. and Shamblin, Isaac and Arynchyna, Anastasia A. and Hopson, Betsy and Kerr, Tammie and Johnston, James M. and Rozzelle, Curtis J. and Blount, Jeffrey P.",Did not pass (comment reason for exclusion),FALSE,Berjo,FALSE,Sett,,,2021,,,,,,,,,,,,
ID 128,Shunt insertion in newborns with myeloschisis/myelomenigocele and hydrocephalus,"Yilmaz, A. and Müslüman, A. M. and Dalgic, N. and Cavuşoğlu, H. and Kanat, A. and Colak, I. and Aydın, Y.",Passed,TRUE,Safia,TRUE,Conor,,,Dec,,,,,,,,,,,,
ID 129,Shunt placement and myelomeningocele repair: Simultaneous vs sequential shunting. Review of 12 cases,"Epstein, N. E. and Rosenthal, A. D. and Zito, J. and Osipoff, M.",Passed,TRUE,Safia,TRUE,Conor,English,United States,1985,,High income,North America,Multiple case report,12,,,,,4,8,
ID 130,Shunt revision rates in myelomeningocele patients in the first year of life: a retrospective study of 52 patients,"Alatas, Ibrahim and Canaz, Huseyin and Canaz, Gokhan and Kayran, Nesrin Akkoyun and Kara, Nursu",Passed,TRUE,Safia,TRUE,Conor,English,Turkey,2018,2014-2015,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),31,,,,,,,
ID 131,Shunt timing in meningomyelocele and clinical results: analysis of 80 cases,"Istemen, Ismail and Arslan, Ali and Olguner, Semih Kivanc and Acik, Vedat and Okten, Ali Ihsan and Babaoglan, Mehmet",Passed,TRUE,Safia,TRUE,Conor,English,Turkey,2021,,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),,,,,,,,
ID 132,Simultaneous repair of myelomeningocele and shunt insertion,"Machado, Helio Rubens and Santos de Oliveira, Ricardo",Passed,TRUE,Conor,FALSE,Daoud,English,Brazil,2004,1998-2002,Upper middle income,Latin America & Caribbean,Retrospective study (unspecified),28,,,,,6,4,
ID 133,Single-stage treatment of spina bifida with hydrocephalus based on a prediction rule derived from preoperative cranial ultrasound,"Wakhlu, Ashish and Wakhlu, Geeta and Saxena, Sunita and T and on, R. K.",Passed,TRUE,Conor,FALSE,Daoud,English,India,2009,2005-2008,Lower middle income,South Asia,Prospective study (unspecified),245,,,,,,,
ID 134,Sonographic signs of Arnold-Chiari-syndrome and hydrocephalus in children with myelomeningocele,"Deeg, K. H.",Did not pass (comment reason for exclusion),TRUE,Conor,TRUE,Berjo,German,Germany,1984,1980-1984,High income,Europe & Central Asia,Retrospective study (unspecified),22,,,,,,,"Full paper not available, and not available in English/translatable version"
ID 135,"Spina bifida aperta in southern Iran, 15 years experience","S.M, Rakei and M, Taghipour and A, Safarian and A, Rahmanian",Passed,TRUE,Conor,FALSE,Daoud,English,"Iran, Islamic Rep.",2007,1981-2005,Lower middle income,Middle East & North Africa,Retrospective study (unspecified),23,,,,,,,
ID 136,Spina Bifida Cystica; features and early postoperative outcomes an experience in Kampala,"Byabato, S. and Kiryabwire, J. and Galuk and e, M.",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Berjo,English,Uganda,2012,2010-2011,Low income,Sub-Saharan Africa,Prospective study (unspecified),51,,,,,23,28,Wrong population (50 myelomeningocele and 1 Meningocele. No distinguishable data for patient with meningocele. Unclear how many had HC in the sample population) 
ID 137,"Spina bifida cystica: selective management in Zaria, Nigeria","Shehu, B. B. and Ameh, E. A. and Ismail, N. J.",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Berjo,English,Nigeria,2000,1987-1997,Lower middle income,Sub-Saharan Africa,Retrospective study (unspecified),23,,,,,,,"Wrong population (No  disaggregate data for MMC-aHC patients . Paper only mentioned MMC and little details on patient with MMC-aHC)
"
ID 138,Spinal dysraphism: Experience with 250 cases operated upon,"Assaad, A. and Mansy, A. and Kotb, M. and Hafez, M.",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Berjo,English,"Egypt, Arab Rep.",1989,,Lower middle income,Middle East & North Africa,,,,,,,,,"Wrong population (No  disaggregate data for MMC-aHC patients. age at first shunt unclear) 
"
ID 139,Success of endoscopic third ventriculostomy in children less than 2 years of age,"Etus, Volkan and Ceylan, Savas",Did not pass (comment reason for exclusion),TRUE,Brian,FALSE,Berjo,English,Turkey,2005,1997-2004,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),12,,,,,,,"No outcome of interest. Didnt mention anything about procedure failures, only successful ETV procedures "
ID 140,Surgery without assistance in newborns and infants with hydrocephalus and neural tube defects,"King'ori, C. and Kunz, U. and Hummler, H. and Mauer, U. M.",,FALSE,Jeremy,FALSE,Brian,,,2008,,,,,,,,,,,,
ID 141,"Surgical intervention for hydrocephalus in infancy; etiology, age and treatment data in a Dutch cohort","Holwerda, J. C. and van Lindert, E. J. and Buis, D. R. and Hoving, E. W. and Dutch Pediatric Neurosurgery Study, Group",Did not pass (comment reason for exclusion),TRUE,Jeremy,TRUE,Brian,English,Netherlands,2020,2010-2017,High income,Europe & Central Asia,Retrospective study (unspecified),32,,,,,,,no separate data for MMC related HC
ID 142,Surgical management of Chiari malformation type II,"Talamonti, Giuseppe and Marcati, Eleonora and Picano, Marco and D'Aliberti, Giuseppe and Mastino, Lara and Meccariello, Giulia",Did not pass (comment reason for exclusion),TRUE,Jeremy,TRUE,Brian,English,Italy,2020,1988-2018,High income,Europe & Central Asia,Retrospective study (unspecified),13,2409,,,,,,7 weeks to 44 years for age range (unable to include in the table)
ID 143,Surgical outcome of patients with meningomyelocele treated with a team approach,"Ashrafzadeh, Farah and Ariamanesh, Amirshahriar and Faraji, Sanaz and Faraji, Mohammad",,FALSE,Jeremy,FALSE,Brian,,,2006,,,,,,,,,,,,
ID 144,Surgical outcome of pediatric hydrocephalus treated by endoscopic III ventriculostomy: Prognostic factors and interpretation of postoperative neuroimaging,"Kim, Seung-Ki and Wang, Kyu-Chang and Cho, Byung-Kyu",Did not pass (comment reason for exclusion),TRUE,Daoud,TRUE,Berjo,English,"Korea, Rep.",2000,1994-1998,High income,East Asia & Pacific,Retrospective study (unspecified),,,,,,,,Wrong population
ID 145,"Surgical Outcomes after Myelomeningocele Repair in Lusaka, Zambia","Bhebhe, Arnold and Sichizya, Kachinga and Reynolds, Rebecca A. and Bonfield, Christopher M. and Shannon, Chevis and Garcia, Roxanna M. and Lam, S and i and Chen, Heidi",Did not pass (comment reason for exclusion),TRUE,Daoud,TRUE,Berjo,,,2021,,,,,,,,,,,,Wrong population
ID 146,Surgical technique of retrograde ventricle-sinus shunt is an option for the treatment of hydrocephalus in infants after surgical repair of myelomeningocele,"Oliveira, Matheus Fern and es de and Teixeira, Manoel Jacobsen and Norremose, Karen Andrade and Matushita, Hamilton and Oliveira, Marcelo de Lima and Shu, Edson Bor Seng and Pinto, Fern and o Campos Gomes",Passed,TRUE,Daoud,TRUE,Moniba,English,Brazil,2015,2010-2012,Upper middle income,Latin America & Caribbean,Prospective study (unspecified),9,125,121,,30-182.5,2,7,
